0-496: pg mediated inhibition with nc[15][]=0
497-993: pg mediated inhibition with nc[15][]=1
994-1490: gc mediated inhibition 

pg mediated inhibition with nc[15][]=0 
run_ 24 /parameters.hoc:light1_peak_rate = 40
run_ 25 /parameters.hoc:breath_peak_rate = 140
run_ 25 /parameters.hoc:light1_peak_rate = 60
run_ 26 /parameters.hoc:breath_peak_rate = 140
run_ 26 /parameters.hoc:light1_peak_rate = 80
run_ 27 /parameters.hoc:breath_peak_rate = 140
run_ 27 /parameters.hoc:light1_peak_rate = 100
run_ 28 /parameters.hoc:breath_peak_rate = 140
run_ 28 /parameters.hoc:light1_peak_rate = 120
run_ 29 /parameters.hoc:breath_peak_rate = 160
run_ 29 /parameters.hoc:light1_peak_rate = 0
run_ 30 /parameters.hoc:breath_peak_rate = 160
run_ 30 /parameters.hoc:light1_peak_rate = 20
run_ 31 /parameters.hoc:breath_peak_rate = 160
run_ 31 /parameters.hoc:light1_peak_rate = 40
run_ 32 /parameters.hoc:breath_peak_rate = 160
run_ 32 /parameters.hoc:light1_peak_rate = 60
run_ 33 /parameters.hoc:breath_peak_rate = 160
run_ 33 /parameters.hoc:light1_peak_rate = 80
run_ 34 /parameters.hoc:breath_peak_rate = 160
run_ 34 /parameters.hoc:light1_peak_rate = 100
run_ 35 /parameters.hoc:breath_peak_rate = 160
run_ 35 /parameters.hoc:light1_peak_rate = 120
run_ 36 /parameters.hoc:breath_peak_rate = 160
run_ 36 /parameters.hoc:light1_peak_rate = 140
run_ 37 /parameters.hoc:breath_peak_rate = 180
run_ 37 /parameters.hoc:light1_peak_rate = 0
run_ 38 /parameters.hoc:breath_peak_rate = 180
run_ 38 /parameters.hoc:light1_peak_rate = 20
run_ 39 /parameters.hoc:breath_peak_rate = 180
run_ 39 /parameters.hoc:light1_peak_rate = 40
run_ 40 /parameters.hoc:breath_peak_rate = 180
run_ 40 /parameters.hoc:light1_peak_rate = 60
run_ 41 /parameters.hoc:breath_peak_rate = 180
run_ 41 /parameters.hoc:light1_peak_rate = 80
run_ 42 /parameters.hoc:breath_peak_rate = 180
run_ 42 /parameters.hoc:light1_peak_rate = 100
run_ 43 /parameters.hoc:breath_peak_rate = 180
run_ 43 /parameters.hoc:light1_peak_rate = 120
run_ 44 /parameters.hoc:breath_peak_rate = 180
run_ 44 /parameters.hoc:light1_peak_rate = 140
run_ 45 /parameters.hoc:breath_peak_rate = 180
run_ 45 /parameters.hoc:light1_peak_rate = 160
run_ 46 /parameters.hoc:breath_peak_rate = 200
run_ 46 /parameters.hoc:light1_peak_rate = 0
run_ 47 /parameters.hoc:breath_peak_rate = 200
run_ 47 /parameters.hoc:light1_peak_rate = 20
run_ 48 /parameters.hoc:breath_peak_rate = 200
run_ 48 /parameters.hoc:light1_peak_rate = 40
run_ 49 /parameters.hoc:breath_peak_rate = 200
run_ 49 /parameters.hoc:light1_peak_rate = 60
run_ 50 /parameters.hoc:breath_peak_rate = 200
run_ 50 /parameters.hoc:light1_peak_rate = 80
run_ 51 /parameters.hoc:breath_peak_rate = 200
run_ 51 /parameters.hoc:light1_peak_rate = 100
run_ 52 /parameters.hoc:breath_peak_rate = 200
run_ 52 /parameters.hoc:light1_peak_rate = 120
run_ 53 /parameters.hoc:breath_peak_rate = 200
run_ 53 /parameters.hoc:light1_peak_rate = 140
run_ 54 /parameters.hoc:breath_peak_rate = 200
run_ 54 /parameters.hoc:light1_peak_rate = 160
run_ 55 /parameters.hoc:breath_peak_rate = 200
run_ 55 /parameters.hoc:light1_peak_rate = 180
run_ 56 /parameters.hoc:breath_peak_rate = 220
run_ 56 /parameters.hoc:light1_peak_rate = 0
run_ 57 /parameters.hoc:breath_peak_rate = 220
run_ 57 /parameters.hoc:light1_peak_rate = 20
run_ 58 /parameters.hoc:breath_peak_rate = 220
run_ 58 /parameters.hoc:light1_peak_rate = 40
run_ 59 /parameters.hoc:breath_peak_rate = 220
run_ 59 /parameters.hoc:light1_peak_rate = 60
run_ 60 /parameters.hoc:breath_peak_rate = 220
run_ 60 /parameters.hoc:light1_peak_rate = 80
run_ 61 /parameters.hoc:breath_peak_rate = 220
run_ 61 /parameters.hoc:light1_peak_rate = 100
run_ 62 /parameters.hoc:breath_peak_rate = 220
run_ 62 /parameters.hoc:light1_peak_rate = 120
run_ 63 /parameters.hoc:breath_peak_rate = 220
run_ 63 /parameters.hoc:light1_peak_rate = 140
run_ 64 /parameters.hoc:breath_peak_rate = 220
run_ 64 /parameters.hoc:light1_peak_rate = 160
run_ 65 /parameters.hoc:breath_peak_rate = 220
run_ 65 /parameters.hoc:light1_peak_rate = 180
run_ 66 /parameters.hoc:breath_peak_rate = 220
run_ 66 /parameters.hoc:light1_peak_rate = 200
run_ 67 /parameters.hoc:breath_peak_rate = 240
run_ 67 /parameters.hoc:light1_peak_rate = 0
run_ 68 /parameters.hoc:breath_peak_rate = 240
run_ 68 /parameters.hoc:light1_peak_rate = 20
run_ 69 /parameters.hoc:breath_peak_rate = 240
run_ 69 /parameters.hoc:light1_peak_rate = 40
run_ 70 /parameters.hoc:breath_peak_rate = 240
run_ 70 /parameters.hoc:light1_peak_rate = 60
run_ 71 /parameters.hoc:breath_peak_rate = 240
run_ 71 /parameters.hoc:light1_peak_rate = 80
run_ 72 /parameters.hoc:breath_peak_rate = 240
run_ 72 /parameters.hoc:light1_peak_rate = 100
run_ 73 /parameters.hoc:breath_peak_rate = 240
run_ 73 /parameters.hoc:light1_peak_rate = 120
run_ 74 /parameters.hoc:breath_peak_rate = 240
run_ 74 /parameters.hoc:light1_peak_rate = 140
run_ 75 /parameters.hoc:breath_peak_rate = 240
